,P1,P2,P1A,P1B,P1C,P1D,P6,P11A,P11B,P11C,P11F,P12,P16,P17,P20,P23,P27A,P27B,P27C,P27D,P27E,P27F,P27G,P37,P43,P46A,P46B,P46C,P46D,P46E,P46F,P46G,P46H,P46I,P47A,P47B,P47C,P47D,P47E,P47F,P47G,P47H,P47I,P63A,P63B,P68,P131A,P131B,P131C,P148,P149,P152,P160
398,19,1,,,,,2,4.0,5.0,,,1,2,1,1,3,,,,,,,,1.0,7,1,4.0,10.0,,,,,,,1,3.0,7.0,,,,,,,1,2.0,2,5,1.0,6.0,1,6,6,Sucre
399,24,1,,,,,1,4.0,5.0,,,1,1,2,1,2,,,,,,,,1.0,7,1,4.0,7.0,,,,,,,1,2.0,7.0,,,,,,,1,2.0,2,6,4.0,1.0,2,6,6,Sucre
401,25,1,,,,,1,1.0,5.0,,,1,1,2,1,2,,,,,,,,1.0,7,1,10.0,,,,,,,,1,7.0,,,,,,,,2,,2,5,6.0,4.0,2,6,6,Sucre
404,15,1,,,,,1,4.0,5.0,,,1,2,1,1,2,,,,,,,,1.0,7,10,,,,,,,,,5,,,,,,,,,1,2.0,1,5,6.0,,2,2,6,Sucre
405,18,1,,,,,1,1.0,2.0,,,1,1,1,1,2,,,,,,,,1.0,7,1,,,,,,,,,1,7.0,,,,,,,,2,,2,9,,,1,3,6,Sucre
407,20,1,,,,,1,1.0,,,,1,2,2,1,3,,,,,,,,1.0,7,4,,,,,,,,,5,,,,,,,,,2,,2,9,,,2,6,6,Sucre
408,14,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,5,9,,,,,,,,,1,,,,,,,,,2,,1,9,,,2,2,6,Sucre
410,18,1,,,,,2,,,,,1,1,2,2,3,,,,,,,,1.0,3,1,,,,,,,,,5,,,,,,,,,2,,1,9,,,2,3,6,Sucre
411,24,1,,,,,1,1.0,,,,1,1,2,2,2,,,,,,,,1.0,4,2,4.0,6.0,,,,,,,5,,,,,,,,,2,,2,5,6.0,1.0,2,6,6,Sucre
418,25,1,,,,,1,1.0,,,,1,1,2,1,3,,,,,,,,1.0,7,1,,,,,,,,,10,,,,,,,,,2,,2,6,1.0,2.0,2,6,6,Camargo
420,20,1,,,,,1,3.0,4.0,,,1,1,2,2,2,,,,,,,,1.0,7,1,7.0,,,,,,,,1,,,,,,,,,2,,1,6,2.0,1.0,1,2,6,Chajra Khasa
423,17,1,,,,,1,3.0,4.0,,,1,2,2,2,2,,,,,,,,1.0,7,1,7.0,8.0,,,,,,,1,9.0,,,,,,,,2,,3,1,2.0,7.0,1,2,6,Chajra Khasa
425,18,1,,,,,1,1.0,5.0,,,1,1,2,1,3,,,,,,,,1.0,5,1,10.0,,,,,,,,9,,,,,,,,,2,,1,9,,,2,3,6,Chajra Khasa
426,17,1,,,,,2,,,,,2,2,2,1,3,,,,,,,,1.0,3,1,,,,,,,,,9,,,,,,,,,2,,1,1,2.0,3.0,2,1,6,Chajra Khasa
433,14,1,,,,,2,,,,,1,2,2,2,3,,,,,,,,1.0,7,1,10.0,,,,,,,,9,,,,,,,,,2,,1,6,1.0,2.0,2,2,6,Camargo
434,14,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,8.0,9.0,,,,,,,9,,,,,,,,,2,,1,5,2.0,1.0,1,2,6,Camargo
435,15,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,4,1,10.0,,,,,,,,9,,,,,,,,,2,,1,6,2.0,1.0,1,2,6,Santa Rosa
442,16,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,5,1,,,,,,,,,3,9.0,,,,,,,,2,,1,2,1.0,6.0,2,2,6,Cochabamba
444,18,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,7.0,9.0,,,,,,,9,,,,,,,,,2,,3,4,2.0,1.0,1,2,6,Porvenir
446,14,1,,,,,1,3.0,,,,1,1,1,1,3,,,,,,,,1.0,4,1,8.0,10.0,,,,,,,9,,,,,,,,,2,,1,2,1.0,6.0,2,2,6,Cochabamba
447,16,1,,,,,1,5.0,,,,1,2,1,1,3,,,,,,,,1.0,7,1,8.0,10.0,,,,,,,1,7.0,,,,,,,,2,,1,4,3.0,2.0,1,2,6,Cochabamba
449,45,1,,,,,1,1.0,,,,1,1,1,1,3,,,,,,,,1.0,7,1,2.0,7.0,,,,,,,1,,,,,,,,,2,,1,1,2.0,3.0,2,3,6,Cochabamba
450,16,1,,,,,2,,,,,1,1,1,1,3,,,,,,,,1.0,7,1,7.0,9.0,,10.0,,,,,1,9.0,,,,,,,,2,,1,6,2.0,1.0,2,2,6,Cochabamba
456,16,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,,,,,,,,,9,,,,,,,,,2,,3,1,2.0,6.0,2,2,6,Papagayo
459,24,1,,,,,1,1.0,2.0,3.0,4.0,1,2,2,1,2,,,,,,,,1.0,7,4,7.0,,,,,,,,1,3.0,9.0,,,,,,,2,,2,6,1.0,2.0,1,6,6,Papagayo
462,19,1,,,,,2,4.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,6,1,8.0,9.0,,,,,,,5,7.0,,,,,,,,1,2.0,3,5,1.0,6.0,1,3,6,Potosí
466,17,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,6.0,9.0,,,,,,,1,5.0,7.0,,,,,,,2,,1,6,3.0,2.0,2,2,6,Potosí
468,14,1,,,,,1,1.0,2.0,3.0,4.0,1,1,2,1,2,,,,,,,,1.0,7,1,2.0,6.0,,7.0,8.0,9.0,10.0,11.0,1,4.0,5.0,7.0,,,,,,2,,1,2,7.0,1.0,1,2,6,Potosí
470,27,1,,,,,1,4.0,,,,1,1,2,1,3,,,,,,,,1.0,5,1,2.0,7.0,,,,,,,5,9.0,,,,,,,,1,2.0,2,5,6.0,1.0,1,6,6,Potosí
471,19,1,,,,,2,1.0,2.0,4.0,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,1,5.0,9.0,,,,,,,2,,1,5,6.0,1.0,1,6,6,Potosí
473,20,1,,,,,1,1.0,,,,1,1,2,1,3,,,,,,,,1.0,6,10,,,,,,,,,5,,,,,,,,,1,1.0,2,6,5.0,1.0,1,6,6,Potosí
474,24,1,,,,,1,5.0,,,,1,1,2,1,3,,,,,,,,1.0,1,1,10.0,11.0,,,,,,,9,,,,,,,,,1,1.0,2,5,2.0,1.0,2,6,6,Potosí
476,15,1,,,,,1,5.0,,,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,7.0,,10.0,,,,,1,5.0,7.0,,,,,,,2,,3,6,1.0,2.0,2,2,6,Potosí
480,24,1,,,,,1,1.0,2.0,4.0,5.0,1,2,2,1,2,,,,,,,,1.0,7,1,2.0,4.0,,6.0,7.0,9.0,10.0,,1,4.0,5.0,9.0,,,,,,1,1.0,2,5,6.0,1.0,2,6,6,Potosí
481,17,1,,,,,1,2.0,3.0,4.0,5.0,1,2,2,1,2,,,,,,,,1.0,7,1,2.0,6.0,,8.0,9.0,10.0,11.0,,1,2.0,3.0,5.0,8.0,,9.0,10.0,12.0,1,2.0,1,6,7.0,3.0,2,2,6,Potosí
485,19,1,,,,,2,3.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,7,1,,,,,,,,,1,7.0,,,,,,,,2,,3,6,5.0,1.0,1,3,6,Tupiza
493,18,1,,,,,1,1.0,3.0,,,1,1,2,1,3,,,,,,,,1.0,7,1,10.0,,,,,,,,5,9.0,,,,,,,,2,,1,5,6.0,7.0,1,3,6,Uyuni
499,14,1,,,,,1,1.0,,,,1,2,2,1,3,,,,,,,,1.0,2,2,,,,,,,,,1,,,,,,,,,2,,1,1,2.0,5.0,1,2,6,Tres Cruces
501,18,1,,,,,2,3.0,,,,1,2,2,1,3,,,,,,,,1.0,7,8,9.0,10.0,,,,,,,5,7.0,,,,,,,,2,,3,1,2.0,6.0,1,3,6,San Miguel de Kataty
507,19,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,5,1,2.0,6.0,,9.0,10.0,11.0,,,1,3.0,7.0,9.0,,,,,,2,,3,5,6.0,1.0,2,3,6,San Miguel de Kataty
508,18,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,6.0,,7.0,8.0,9.0,10.0,11.0,1,5.0,7.0,9.0,,,,,,2,,1,5,6.0,1.0,2,2,6,San Miguel de Kataty
509,17,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,3,9,10.0,,,,,,,,7,,,,,,,,,2,,3,6,1.0,2.0,2,2,6,Zapatera
514,17,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,7,1,2.0,7.0,,8.0,9.0,10.0,,,7,9.0,,,,,,,,2,,3,6,1.0,2.0,1,2,6,Zapatera
519,14,1,,,,,1,2.0,,,,1,2,2,2,3,,,,,,,,1.0,2,5,,,,,,,,,5,,,,,,,,,2,,1,1,2.0,,2,2,6,Cala Cala
521,17,1,,,,,1,1.0,,,,1,2,2,1,3,,,,,,,,1.0,7,1,4.0,,,,,,,,1,,,,,,,,,2,,1,2,,,2,2,6,Cala Cala
522,16,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,8,1.0,,,,,,,,1,7.0,,,,,,,,9,,3,6,2.0,1.0,1,2,6,Cala Cala
526,19,1,,,,,1,1.0,2.0,4.0,,2,2,2,1,1,1.0,2.0,4.0,,6.0,7.0,9.0,1.0,7,1,2.0,4.0,,7.0,6.0,9.0,,,1,4.0,5.0,9.0,12.0,,,,,2,,1,1,,,2,3,6,Cachichira
529,17,1,,,,,1,1.0,,,,1,1,2,1,3,,,,,,,,,2,4,8.0,10.0,,,,,,,3,,,,,,,,,2,,1,1,,,2,2,6,Amaya Pampa
530,19,1,,,,,1,4.0,,,,1,2,2,1,3,,,,,,,,,6,1,5.0,7.0,,,,,,,3,,,,,,,,,1,9.0,3,1,,,1,3,6,Amaya Pampa
533,22,1,,,,,2,,,,,1,2,2,2,3,,,,,,,,1.0,2,7,8.0,,,,,,,,9,,,,,,,,,2,,3,1,,,1,3,6,Amaya Pampa
534,18,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,1,1,2.0,,,,,,,,9,,,,,,,,,9,,1,1,,,2,2,6,Pata Pata
535,16,1,,,,,2,,,,,2,2,2,1,3,,,,,,,,,2,4,,,,,,,,,9,,,,,,,,,2,,1,1,,,2,2,6,Pata Pata
536,21,1,,,,,1,5.0,,,,1,2,2,1,3,,,,,,,,1.0,2,1,,,,,,,,,1,,,,,,,,,2,,2,1,2.0,,1,3,6,Pata Pata
538,17,1,,,,,1,2.0,3.0,,,1,2,2,1,3,,,,,,,,1.0,1,1,2.0,,,,,,,,9,,,,,,,,,2,,1,3,1.0,,1,2,6,Pata Pata
543,22,1,,,,,1,4.0,,,,1,1,2,2,1,2.0,7.0,,,,,,1.0,7,7,,,,,,,,,10,,,,,,,,,1,1.0,2,5,6.0,3.0,1,3,6,Cochabamba
545,14,1,,,,,1,,,,,1,1,2,2,1,10.0,,,,,,,1.0,7,10,,,,,,,,,7,,,,,,,,,2,,1,1,5.0,3.0,2,2,6,Cochabamba
546,20,1,,,,,1,5.0,,,,1,1,1,1,3,,,,,,,,1.0,7,9,10.0,,,,,,,,7,,,,,,,,,1,1.0,1,5,1.0,3.0,2,3,6,Cochabamba
554,16,1,,,,,1,4.0,5.0,,,1,1,2,1,1,1.0,9.0,10.0,,,,,1.0,7,1,2.0,10.0,,,,,,,7,9.0,,,,,,,,2,,1,5,3.0,1.0,2,2,6,Cochabamba
555,17,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,6.0,8.0,,10.0,,,,,1,7.0,9.0,,,,,,,1,2.0,1,1,2.0,5.0,1,2,6,Cochabamba
559,20,1,,,,,1,5.0,,,,1,1,2,2,1,9.0,10.0,,,,,,1.0,6,7,10.0,,,,,,,,7,,,,,,,,,1,2.0,2,4,,,2,6,6,Cochabamba
560,25,1,,,,,1,4.0,,,,1,1,2,2,1,10.0,,,,,,,1.0,7,10,,,,,,,,,7,,,,,,,,,2,,2,1,,,2,7,6,Cochabamba
561,15,1,,,,,1,2.0,3.0,,,1,1,2,1,2,,,,,,,,2.0,5,8,,,,,,,,,7,,,,,,,,,2,,3,1,5.0,3.0,1,2,6,Cochabamba
562,19,1,,,,,1,1.0,,,,1,2,2,1,3,,,,,,,,1.0,3,1,4.0,9.0,,,,,,,1,,,,,,,,,1,2.0,2,1,5.0,,2,6,6,Cochabamba
563,22,1,,,,,1,5.0,,,,1,1,2,1,1,4.0,,,,,,,1.0,7,4,,,,,,,,,9,,,,,,,,,1,2.0,2,1,6.0,5.0,1,6,6,Cochabamba
567,17,1,,,,,1,4.0,,,,1,1,2,1,1,8.0,9.0,10.0,,,,,1.0,3,8,9.0,10.0,,,,,,,5,9.0,,,,,,,,2,,1,5,,,1,2,6,Cochabamba
568,24,1,,,,,1,1.0,3.0,5.0,,1,2,2,2,1,1.0,2.0,8.0,,,,,1.0,7,1,4.0,8.0,,,,,,,5,9.0,12.0,,,,,,,2,,2,6,,,2,4,6,Cochabamba
569,19,1,,,,,1,1.0,4.0,5.0,,1,1,2,1,1,2.0,7.0,10.0,,,,,1.0,7,1,4.0,9.0,,,,,,,5,12.0,,,,,,,,2,,2,5,6.0,3.0,2,6,6,Cochabamba
574,20,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,10.0,,,,,,,,1,7.0,,,,,,,,2,,3,4,6.0,3.0,2,3,6,Cochabamba
576,15,1,,,,,1,4.0,,,,1,1,2,1,2,,,,,,,,1.0,5,1,7.0,10.0,,,,,,,1,9.0,,,,,,,,2,,1,1,2.0,5.0,2,2,6,Cochabamba
577,21,1,,,,,1,1.0,,,,1,2,2,1,1,1.0,2.0,7.0,,9.0,,,1.0,7,1,10.0,,,,,,,,1,7.0,,,,,,,,2,,1,1,6.0,5.0,1,2,6,Cochabamba
581,19,1,,,,,1,5.0,,,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,7,9.0,,,,,,,,1,1.0,2,6,1.0,5.0,2,6,6,Villomilla
587,19,1,,,,,1,4.0,,,,1,1,2,1,1,2.0,7.0,10.0,,,,,1.0,7,2,7.0,10.0,,,,,,,1,5.0,9.0,,,,,,,1,1.0,1,4,5.0,6.0,2,6,6,Cochabamba
588,23,1,,,,,2,4.0,,,,1,1,2,1,3,,,,,,,,1.0,7,10,,,,,,,,,7,,,,,,,,,2,,1,4,5.0,6.0,2,3,6,Cochabamba
592,25,1,,,,,1,5.0,,,,1,2,2,1,2,,,,,,,,1.0,7,1,2.0,4.0,,,,,,,9,,,,,,,,,1,1.0,2,6,4.0,1.0,2,6,6,Punata
593,18,1,,,,,1,5.0,,,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,7,9.0,,,,,,,,1,1.0,2,6,1.0,5.0,2,3,6,Punata
594,16,1,,,,,1,3.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,7,9.0,,,,,,,,2,,1,6,1.0,5.0,1,2,6,Punata
596,17,1,,,,,1,2.0,5.0,,,1,1,2,1,3,,,,,,,,1.0,7,1,4.0,10.0,,,,,,,5,7.0,9.0,,,,,,,1,2.0,1,1,5.0,6.0,1,2,6,Punata
597,17,1,,,,,1,1.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,6,1,4.0,10.0,,,,,,,5,7.0,9.0,,,,,,,1,2.0,1,6,1.0,7.0,2,2,6,Punata
599,14,1,,,,,1,3.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,5,1,8.0,10.0,,,,,,,5,7.0,9.0,,,,,,,2,,1,6,1.0,5.0,1,2,6,Punata
607,18,1,,,,,2,,,,,1,2,2,2,3,,,,,,,,1.0,7,1,2.0,6.0,,7.0,8.0,9.0,10.0,,1,5.0,7.0,,,,,,,2,,3,5,,,2,3,6,Vinto
612,22,1,,,,,2,,,,,1,2,2,2,3,,,,,,,,1.0,5,1,9.0,10.0,,,,,,,3,9.0,,,,,,,,1,2.0,3,9,,,1,3,6,Vinto
613,18,1,,,,,2,,,,,1,2,2,2,3,,,,,,,,1.0,7,1,8.0,9.0,,10.0,,,,,1,7.0,9.0,12.0,,,,,,1,2.0,2,5,,,1,1,6,Vinto
614,15,1,,,,,2,,,,,1,2,2,2,3,,,,,,,,1.0,7,1,9.0,10.0,,,,,,,9,,,,,,,,,1,2.0,1,9,,,1,2,6,Vinto
619,17,1,,,,,1,5.0,4.0,,,1,1,2,1,1,1.0,2.0,4.0,,,,,1.0,7,10,11.0,,,,,,,,1,7.0,,,,,,,,1,1.0,1,5,,,2,2,6,Molinos
621,19,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,7,2,10.0,,,,,,,,6,7.0,9.0,,,,,,,2,,1,1,5.0,6.0,1,3,6,Sipe Sipe
625,14,1,,,,,1,2.0,3.0,,,1,2,1,1,3,,,,,,,,1.0,7,1,10.0,,,,,,,,1,4.0,5.0,7.0,,,,,,2,,3,9,,,1,2,6,Irpa Irpa
628,25,1,,,,,1,1.0,,,,1,2,2,1,3,,,,,,,,1.0,3,2,4.0,,,,,,,,9,,,,,,,,,1,2.0,1,1,,,1,3,6,San Benito
629,20,1,,,,,1,4.0,5.0,,,1,2,1,1,2,,,,,,,,1.0,5,1,4.0,9.0,,10.0,,,,,1,7.0,,,,,,,,2,,2,5,6.0,3.0,2,6,6,San Benito
635,17,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,2,1,2.0,8.0,,9.0,10.0,,,,7,,,,,,,,,2,,1,9,,,1,2,6,Vinto Cancha Grande
636,18,1,,,,,2,4.0,,,,1,2,2,2,3,,,,,,,,,2,1,,,,,,,,,7,,,,,,,,,2,,3,1,6.0,,2,2,6,Vinto Cancha Grande
640,15,1,,,,,1,1.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,7,1,8.0,9.0,,10.0,,,,,1,7.0,,,,,,,,1,2.0,1,9,,,1,2,6,Sauce Rancho
642,25,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,7.0,,10.0,,,,,1,7.0,9.0,,,,,,,1,2.0,2,7,5.0,6.0,2,6,6,Sauce Rancho
643,19,1,,,,,1,1.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,2,1,2.0,,,,,,,,2,9.0,,,,,,,,2,,2,1,,,2,6,6,Sauce Rancho
644,20,1,,,,,2,1.0,,,,1,2,2,1,3,,,,,,,,1.0,7,2,7.0,8.0,,,,,,,1,,,,,,,,,2,,2,5,6.0,8.0,1,6,6,Sauce Rancho
646,20,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,4,1,9.0,10.0,,,,,,,1,2.0,9.0,,,,,,,2,,1,3,,,2,3,6,Sunchu Pampa
648,14,1,,,,,2,,,,,1,2,2,2,3,,,,,,,,1.0,2,2,5.0,7.0,,,,,,,1,9.0,,,,,,,,2,,3,1,,,1,2,6,Sunchu Pampa
650,16,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,2,6.0,7.0,,8.0,10.0,,,,1,,,,,,,,,2,,1,9,,,1,2,6,Huañacahua
654,19,1,,,,,2,,,,,1,2,2,2,3,,,,,,,,1.0,5,1,2.0,5.0,,9.0,10.0,,,,1,7.0,,,,,,,,1,1.0,2,1,2.0,3.0,2,6,6,Huañacahua
657,16,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,8.0,10.0,,,,,,,7,8.0,12.0,,,,,,,2,,1,6,,,1,2,6,Dorado Grande
659,21,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,10.0,,,,,,,,1,7.0,,,,,,,,2,,3,6,,,2,1,6,Dorado Grande
660,17,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,1,5.0,7.0,,,,,,,2,,3,5,,,1,2,6,Dorado Grande
664,16,1,,,,,1,1.0,3.0,,,1,1,2,1,1,1.0,5.0,8.0,,,,,1.0,6,4,8.0,10.0,,,,,,,5,,,,,,,,,2,,1,4,5.0,,1,2,6,Oruro
667,16,1,,,,,1,1.0,,,,1,1,1,1,1,2.0,5.0,,,,,,1.0,7,1,5.0,10.0,,,,,,,2,5.0,,,,,,,,2,,1,4,5.0,,2,2,6,Oruro
668,20,1,,,,,1,4.0,,,,1,2,2,1,2,,,,,,,,2.0,3,1,10.0,,,,,,,,1,4.0,7.0,,,,,,,2,,2,3,2.0,,1,3,6,Oruro
670,14,1,,,,,1,2.0,4.0,5.0,,1,2,2,1,2,,,,,,,,1.0,7,1,7.0,8.0,,9.0,10.0,,,,7,9.0,,,,,,,,2,,1,3,,,1,2,6,Oruro
675,15,1,,,,,1,2.0,3.0,5.0,,1,1,2,1,2,,,,,,,,1.0,6,1,7.0,9.0,,,,,,,7,9.0,,,,,,,,2,,1,2,,,2,2,6,Oruro
676,17,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,3,1,9.0,,,,,,,,7,9.0,,,,,,,,2,,1,9,,,2,2,6,Oruro
677,27,1,,,,,1,1.0,,,,1,2,2,1,2,,,,,,,,1.0,7,10,,,,,,,,,1,13.0,,,,Trabajo,,,,1,1.0,2,1,2.0,3.0,1,7,6,Oruro
678,21,1,,,,,1,1.0,2.0,4.0,5.0,1,1,2,1,2,,,,,,,,1.0,7,1,7.0,10.0,,11.0,,,,,7,9.0,,,,,,,,2,,2,3,5.0,6.0,1,6,6,Oruro
682,15,1,,,,,1,4.0,5.0,,,1,1,2,1,3,,,,,,,,1.0,3,1,7.0,10.0,,,,,,,1,,,,,,,,,2,,1,6,5.0,4.0,1,2,6,Oruro
683,18,1,,,,,1,1.0,5.0,,,1,2,2,1,1,1.0,2.0,4.0,,10.0,,,1.0,7,1,8.0,10.0,,,,,,,5,7.0,,,,,,,,2,,1,4,5.0,3.0,2,3,6,Oruro
684,18,1,,,,,1,2.0,,,,1,1,2,1,3,,,,,,,,1.0,3,4,,,,,,,,,1,2.0,,,,,,,,1,2.0,2,1,5.0,4.0,2,3,6,Oruro
685,14,1,,,,,1,2.0,3.0,4.0,5.0,1,1,2,1,1,1.0,2.0,4.0,,8.0,10.0,,1.0,7,1,8.0,10.0,,,,,,,7,,,,,,,,,1,1.0,1,1,,,1,2,6,Oruro
686,16,1,,,,,1,1.0,3.0,4.0,5.0,1,1,2,1,1,1.0,2.0,4.0,,7.0,8.0,,1.0,7,1,4.0,7.0,,8.0,10.0,,,,7,9.0,,,,,,,,2,,1,5,8.0,,2,2,6,Oruro
688,25,1,,,,,1,1.0,4.0,5.0,,1,1,2,1,1,1.0,2.0,4.0,,5.0,10.0,,1.0,4,1,2.0,4.0,,10.0,,,,,1,,,,,,,,,2,,2,5,4.0,1.0,2,6,6,Oruro
692,16,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,8.0,10.0,,,,,,,7,8.0,12.0,,,,,,,2,,1,6,,,1,2,6,Oruro
693,14,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,4,1,5.0,9.0,,,,,,,9,,,,,,,,,9,,1,9,,,1,2,6,Oruro
695,15,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,8.0,9.0,,,,,,,1,7.0,9.0,,,,,,,9,,1,5,,,1,2,6,Oruro
697,25,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,2,1,,,,,,,,,1,7.0,,,,,,,,2,,2,1,3.0,2.0,2,6,6,Oruro
705,16,1,,,,,2,1.0,3.0,5.0,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,6.0,,9.0,10.0,,,,1,,,,,,,,,1,2.0,1,5,6.0,1.0,2,2,6,Oruro
718,19,1,,,,,1,1.0,,,,1,2,2,1,1,6.0,7.0,9.0,,,,,1.0,2,2,6.0,7.0,,,,,,,1,6.0,,,,,,,,2,,2,9,,,1,6,6,Challapata
720,15,1,,,,,1,1.0,,,,1,2,2,2,1,2.0,5.0,7.0,,10.0,,,1.0,7,5,10.0,,,,,,,,3,7.0,9.0,,,,,,,2,,2,2,4.0,,1,2,6,Santiago de Huari
721,16,1,,,,,1,1.0,,,,1,2,2,2,2,,,,,,,,1.0,7,2,5.0,11.0,,,,,,,1,,,,,,,,,2,,2,2,,,2,2,6,Santiago de Huari
732,20,1,,,,,2,,,,,1,2,2,2,3,,,,,,,,2.0,1,1,2.0,3.0,,,,,,,5,,,,,,,,,2,,1,3,5.0,6.0,2,2,6,Cruce Culta
734,18,1,,,,,1,4.0,,,,1,2,2,1,3,,,,,,,,2.0,3,1,2.0,5.0,,9.0,,,,,1,12.0,,,,,,,,1,2.0,1,4,7.0,,2,2,6,Cruce Culta
735,14,1,,,,,1,1.0,,,,1,2,2,1,3,,,,,,,,1.0,7,6,7.0,9.0,,,,,,,1,,,,,,,,,2,,1,5,,,1,2,6,Cruce Culta
736,15,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,5,1,,,,,,,,,9,,,,,,,,,2,,3,1,,,1,2,6,Cruce Culta
737,15,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,2.0,1,1,11.0,,,,,,,,9,,,,,,,,,9,,1,5,6.0,7.0,1,2,6,Cruce Culta
741,17,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,2,1,9.0,10.0,,,,,,,5,9.0,,,,,,,,2,,1,2,1.0,,2,2,6,Lagunillas
742,19,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,10.0,,,,,,,,7,,,,,,,,,1,2.0,1,9,,,1,3,6,Lagunillas
743,16,1,,,,,2,,,,,1,2,2,2,3,,,,,,,,1.0,2,1,5.0,11.0,,,,,,,9,,,,,,,,,2,,3,1,2.0,3.0,2,2,6,Lagunillas
749,14,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,1,2,7.0,,,,,,,,5,9.0,,,,,,,,2,,1,2,,,1,2,6,Lagunillas
752,16,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,2.0,1,4,7.0,,,,,,,,9,,,,,,,,,2,,1,1,2.0,,2,2,6,Lagunillas
753,30,1,,,,,1,1.0,,,,1,2,2,1,2,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,9,,,,,,,,,2,,2,1,6.0,3.0,2,6,6,Tarija
755,21,1,,,,,1,1.0,5.0,,,1,2,2,1,2,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,5,,,,,,,,,2,,2,1,7.0,3.0,1,6,6,Tarija
762,17,1,,,,,2,5.0,,,,2,2,2,1,3,,,,,,,,1.0,3,1,2.0,7.0,,9.0,10.0,,,,1,5.0,9.0,11.0,12.0,,,,,1,2.0,1,1,6.0,3.0,2,2,6,Tarija
763,19,1,,,,,2,5.0,,,,1,1,2,1,3,,,,,,,,1.0,5,1,4.0,10.0,,,,,,,1,5.0,9.0,10.0,11.0,,12.0,,,1,2.0,2,5,6.0,1.0,1,6,6,Tarija
764,18,1,,,,,1,1.0,5.0,,,1,1,2,1,2,,,,,,,,1.0,7,4,7.0,10.0,,,,,,,1,8.0,9.0,,,,,,,1,2.0,1,4,5.0,6.0,1,3,6,Tarija
765,24,1,,,,,1,1.0,2.0,3.0,4.0,1,1,2,1,1,2.0,7.0,10.0,,,,,1.0,7,6,7.0,10.0,,,,,,,1,2.0,5.0,,,,,,,1,1.0,2,5,4.0,1.0,1,6,6,Tarija
776,19,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,9,,,,,,,,,2,,3,6,5.0,1.0,1,3,6,Tarija
