,P1,P2,P1A,P1B,P1C,P1D,P6,P11A,P11B,P11C,P11F,P12,P16,P17,P20,P23,P27A,P27B,P27C,P27D,P27E,P27F,P27G,P37,P43,P46A,P46B,P46C,P46D,P46E,P46F,P46G,P46H,P46I,P47A,P47B,P47C,P47D,P47E,P47F,P47G,P47H,P47I,P63A,P63B,P68,P131A,P131B,P131C,P148,P149,P152,P160,accesibilidad,utilidad
3122,16,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,7,1,9.0,10.0,,,,,,,1,9.0,,,,,,,,1,2.0,3,6,,,2,2,6,Santa Cruz,0.5,0.08
3124,16,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,7,1,8.0,10.0,,,,,,,7,,,,,,,,,2,,1,9,,,1,2,6,Santa Cruz,0.625,0.04
3125,17,1,,,,,1,1.0,2.0,3.0,4.0,1,1,2,1,2,,,,,,,,1.0,7,1,8.0,10.0,,,,,,,7,,,,,,,,,2,,1,6,,,2,2,6,Santa Cruz,0.875,0.418
3137,14,1,,,,,1,2.0,4.0,5.0,,1,2,2,1,2,,,,,,,,1.0,7,1,7.0,10.0,,,,,,,1,7.0,,,,,,,,2,,3,1,3.0,6.0,2,2,6,Santa Cruz,0.625,0.446
3138,17,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,5,1,8.0,10.0,,,,,,,1,7.0,,,,,,,,2,,2,6,5.0,1.0,1,3,6,Santa Cruz,0.625,0.04
3147,16,1,,,,,2,,,,,1,1,2,2,3,,,,,,,,1.0,7,7,9.0,10.0,,,,,,,1,7.0,,,,,,,,2,,1,3,5.0,6.0,2,2,6,Santa Cruz,0.5,0.105
3148,17,1,,,,,1,1.0,3.0,4.0,5.0,1,2,2,1,2,,,,,,,,1.0,7,7,9.0,10.0,,,,,,,7,9.0,,,,,,,,1,2.0,1,6,5.0,4.0,1,2,6,Santa Cruz,0.75,0.508
3151,22,1,,,,,1,1.0,3.0,4.0,5.0,1,1,2,2,2,,,,,,,,1.0,7,1,9.0,10.0,,,,,,,1,7.0,,,,,,,,1,2.0,2,1,6.0,5.0,2,6,6,Santa Cruz,0.75,0.483
3152,18,1,,,,,2,,,,,1,1,2,2,3,,,,,,,,1.0,7,10,,,,,,,,,1,7.0,,,,,,,,2,,3,1,3.0,,2,3,6,Santa Cruz,0.375,0.0
3153,17,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,7,1,,,,,,,,,1,7.0,,,,,,,,2,,1,1,,,1,3,6,Santa Cruz,0.625,0.04
3163,20,1,,,,,2,5.0,,,,1,2,2,2,3,,,,,,,,1.0,6,6,8.0,10.0,,,,,,,1,7.0,,,,,,,,2,,2,1,5.0,,1,6,6,San Ramon (Sta),0.375,0.186
3165,18,1,,,,,1,1.0,2.0,3.0,4.0,1,2,2,1,2,,,,,,,,1.0,3,1,2.0,6.0,,7.0,8.0,9.0,10.0,,7,,,,,,,,,2,,3,6,5.0,3.0,2,3,6,San Juan Yapacani,0.625,0.668
3166,17,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,3,1,2.0,8.0,,9.0,10.0,,,,7,,,,,,,,,2,,3,5,6.0,1.0,1,3,6,San Juan Yapacani,0.5,0.162
3170,21,1,,,,,1,2.0,4.0,5.0,,1,1,2,1,1,2.0,5.0,7.0,,11.0,,,1.0,3,1,4.0,6.0,,9.0,10.0,,,,1,3.0,5.0,7.0,,,,,,2,,2,1,2.0,3.0,1,3,6,San Ignacio,0.875,0.777
3180,16,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,4,1,9.0,10.0,,,,,,,5,7.0,9.0,,,,,,,2,,1,4,5.0,1.0,1,2,6,Roboré,0.625,0.08
3181,20,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,3,1,7.0,10.0,,,,,,,2,6.0,7.0,9.0,,,,,,2,,1,1,3.0,5.0,1,3,6,Roboré,0.625,0.105
3182,22,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,3,1,7.0,10.0,,,,,,,6,7.0,9.0,,,,,,,2,,1,1,6.0,2.0,2,3,6,Roboré,0.625,0.105
3184,16,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,1,1,9.0,10.0,,,,,,,9,,,,,,,,,2,,3,6,3.0,1.0,2,2,6,Quebrada León,0.375,0.08
3185,19,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,2,1,7.0,10.0,,,,,,,1,7.0,,,,,,,,2,,3,1,6.0,5.0,1,3,6,Quebrada León,0.375,0.105
3186,21,1,,,,,1,4.0,5.0,,,1,2,1,1,3,,,,,,,,1.0,5,1,7.0,10.0,,,,,,,2,6.0,7.0,9.0,,,,,,2,,1,1,5.0,6.0,1,3,6,Puerto Quijarro,0.75,0.349
3191,20,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,2.0,3,1,7.0,9.0,,10.0,,,,,5,7.0,8.0,9.0,,,,,,2,,1,1,2.0,6.0,2,3,6,Pueblo Nuevo,0.625,0.145
3194,16,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,2,7,8.0,10.0,,,,,,,7,,,,,,,,,2,,3,6,5.0,1.0,1,2,6,Pueblo Nuevo,0.375,0.064
3210,14,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,4,1,9.0,10.0,,,,,,,1,7.0,9.0,,,,,,,2,,1,1,2.0,5.0,2,2,6,Pueblo Nuevo,0.5,0.08
3211,15,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,3,1,8.0,10.0,,,,,,,1,7.0,,,,,,,,2,,3,1,2.0,,1,2,6,Pueblo Nuevo,0.375,0.04
3219,17,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,6,9,10.0,,,,,,,,5,7.0,,,,,,,,2,,1,1,6.0,7.0,2,2,6,Pueblo Nuevo,0.5,0.04
3220,18,1,,,,,2,3.0,4.0,,,1,2,2,2,3,,,,,,,,1.0,7,6,9.0,10.0,,,,,,,5,7.0,,,,,,,,2,,1,6,1.0,,1,2,6,Pueblo Nuevo,0.375,0.288
3227,16,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,2,7,10.0,,,,,,,,5,7.0,9.0,,,,,,,2,,1,1,3.0,6.0,1,2,6,Piedritas,0.5,0.064
3228,20,1,,,,,1,,,,,1,2,2,1,3,,,,,,,,1.0,1,4,10.0,,,,,,,,5,9.0,,,,,,,,1,2.0,1,5,6.0,1.0,2,6,6,Mineros,0.625,0.08
3231,18,1,,,,,1,1.0,2.0,4.0,,1,1,2,1,2,,,,,,,,1.0,7,1,6.0,9.0,,,,,,,5,7.0,,,,,,,,1,2.0,1,5,6.0,1.0,2,2,6,Mineros,0.875,0.462
3234,16,1,,,,,1,1.0,3.0,4.0,5.0,1,1,2,2,2,,,,,,,,1.0,7,8,9.0,,,,,,,,1,7.0,9.0,,,,,,,2,,2,1,5.0,6.0,1,2,6,Mineros,0.75,0.443
3235,16,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,2.0,1,1,9.0,10.0,,,,,,,5,7.0,9.0,,,,,,,2,,1,1,2.0,,2,2,6,Huasa Cañada,0.625,0.08
3243,23,1,,,,,2,,,,,1,1,2,2,3,,,,,,,,1.0,5,1,9.0,10.0,,,,,,,1,7.0,9.0,,,,,,,2,,2,6,5.0,1.0,2,6,6,Cotoca,0.5,0.08
3251,18,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,5,7,9.0,10.0,,,,,,,1,7.0,,,,,,,,2,,3,1,6.0,7.0,2,3,6,El Carmen Rivero,0.375,0.105
3256,29,1,,,,,1,3.0,4.0,,,1,2,2,1,3,,,,,,,,1.0,4,1,2.0,10.0,,,,,,,9,,,,,,,,,2,,3,1,6.0,,2,2,6,Camiri,0.5,0.304
3259,23,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,2,1,2.0,5.0,,7.0,8.0,9.0,10.0,11.0,8,9.0,,,,,,,,9,,1,1,6.0,7.0,2,6,6,Anamal,0.5,0.355
3263,17,1,,,,,1,1.0,,,,1,2,2,2,1,2.0,5.0,7.0,,10.0,,,1.0,7,5,,,,,,,,,3,7.0,9.0,,,,,,,2,,2,2,,,1,2,6,Santiago de Huari,0.625,0.372
3264,18,1,,,,,1,1.0,,,,1,2,2,2,2,,,,,,,,1.0,5,2,5.0,,,,,,,,1,,,,,,,,,2,,2,2,,,2,2,6,Santiago de Huari,0.625,0.242
3273,18,1,,,,,1,1.0,3.0,,,1,1,2,1,1,1.0,5.0,8.0,,,,,1.0,6,4,8.0,10.0,,,,,,,5,,,,,,,,,2,,1,4,5.0,,1,2,6,Oruro,0.875,0.344
3276,18,1,,,,,1,1.0,,,,1,1,1,1,1,2.0,5.0,,,,,,1.0,7,1,5.0,10.0,,,,,,,2,5.0,,,,,,,,2,,1,4,5.0,,2,2,6,Oruro,1.0,0.348
3277,22,1,,,,,1,4.0,,,,1,2,2,1,2,,,,,,,,2.0,3,1,,,,,,,,,1,4.0,7.0,,,,,,,2,,2,3,,,1,3,6,Oruro,0.75,0.162
3279,16,1,,,,,1,2.0,4.0,5.0,,1,2,2,1,2,,,,,,,,1.0,7,1,7.0,8.0,,9.0,,,,,7,,,,,,,,,2,,1,3,,,1,2,6,Oruro,0.75,0.487
3284,14,1,,,,,1,2.0,3.0,5.0,,1,1,2,1,2,,,,,,,,1.0,6,1,7.0,9.0,,,,,,,7,,,,,,,,,2,,1,2,,,2,2,6,Oruro,0.875,0.426
3285,16,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,3,1,9.0,,,,,,,,7,,,,,,,,,2,,1,1,,,2,2,6,Oruro,0.5,0.08
3287,20,1,,,,,1,1.0,2.0,4.0,5.0,1,1,2,1,2,,,,,,,,1.0,7,1,7.0,10.0,,11.0,,,,,7,,,,,,,,,2,,2,3,5.0,6.0,1,6,6,Oruro,0.875,0.608
3291,17,1,,,,,1,4.0,5.0,,,1,1,2,1,3,,,,,,,,1.0,3,1,7.0,10.0,,,,,,,1,,,,,,,,,2,,1,6,5.0,4.0,1,2,6,Oruro,0.75,0.349
3292,20,1,,,,,1,1.0,5.0,,,1,2,2,1,1,1.0,2.0,4.0,,10.0,,,1.0,7,1,8.0,10.0,,,,,,,5,,,,,,,,,2,,1,4,5.0,3.0,2,3,6,Oruro,0.75,0.462
3293,20,1,,,,,1,2.0,,,,1,1,2,1,3,,,,,,,,1.0,3,4,,,,,,,,,1,2.0,,,,,,,,1,2.0,2,1,5.0,4.0,2,6,6,Oruro,0.75,0.178
3294,16,1,,,,,1,2.0,3.0,4.0,5.0,1,1,2,1,1,1.0,2.0,4.0,,8.0,10.0,,1.0,7,1,8.0,10.0,,,,,,,7,,,,,,,,,1,1.0,1,1,,,1,2,6,Oruro,0.875,0.645
3295,18,1,,,,,1,1.0,3.0,4.0,5.0,1,1,2,1,1,1.0,2.0,4.0,,7.0,8.0,,1.0,7,1,4.0,7.0,,8.0,,,,,7,,,,,,,,,2,,1,5,,,2,2,6,Oruro,0.875,0.79
3301,17,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,8.0,10.0,,,,,,,7,8.0,12.0,,,,,,,2,,1,6,,,1,2,6,Oruro,0.5,0.04
3302,15,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,4,1,5.0,9.0,,,,,,,9,,,,,,,,,9,,1,1,,,1,2,6,Oruro,0.5,0.145
3304,16,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,8.0,9.0,,,,,,,1,7.0,9.0,,,,,,,9,,1,5,,,1,2,6,Oruro,0.5,0.08
3314,18,1,,,,,2,1.0,3.0,5.0,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,6.0,,9.0,,,,,1,,,,,,,,,1,2.0,1,5,6.0,,2,2,6,Oruro,0.625,0.507
3323,21,1,,,,,1,1.0,2.0,3.0,4.0,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,1,,,,,,,,,1,1.0,2,5,1.0,,1,2,6,Oruro,0.625,0.499
3327,16,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,7,2,,,,,,,,,1,,,,,,,,,2,,2,1,,,2,2,6,Oruro,0.625,0.08
3329,15,1,,,,,2,,,,,2,2,2,1,3,,,,,,,,1.0,2,1,,,,,,,,,1,,,,,,,,,2,,1,9,,,1,2,6,Oruro,0.375,0.04
3330,15,1,,,,,1,4.0,5.0,,,1,1,2,1,2,,,,,,,,1.0,6,1,10.0,,,,,,,,5,9.0,,,,,,,,2,,1,1,6.0,2.0,2,2,6,Oruro,0.875,0.284
3335,15,1,,,,,1,2.0,3.0,4.0,5.0,1,2,2,1,2,,,,,,,,1.0,7,1,2.0,8.0,,10.0,,,,,5,7.0,9.0,,,,,,,2,,1,5,1.0,2.0,1,2,6,Oruro,0.75,0.524
3336,19,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,2,1,2.0,6.0,,,,,,,1,7.0,9.0,12.0,,,,,,1,2.0,2,9,,,2,6,6,Oruro,0.5,0.186
3349,18,1,,,,,1,1.0,5.0,,,1,1,2,1,3,,,,,,,,1.0,7,2,8.0,,,,,,,,7,9.0,,,,,,,,2,,2,2,3.0,4.0,2,2,6,Oruro,0.75,0.3
3350,15,1,,,,,1,3.0,,,,1,1,2,1,3,,,,,,,,1.0,5,1,8.0,9.0,,,,,,,9,,,,,,,,,2,,3,2,3.0,,1,2,6,Oruro,0.625,0.142
3353,28,1,,,,,2,,,,,2,2,2,1,3,,,,,,,,1.0,5,10,,,,,,,,,9,,,,,,,,,2,,3,1,2.0,,2,2,6,Oruro,0.25,0.0
3354,36,1,,,,,2,5.0,,,,1,1,2,2,3,,,,,,,,1.0,3,4,,,,,,,,,3,,,,,,,,,1,1.0,2,6,,,2,6,6,Oruro,0.5,0.202
3360,19,1,,,,,1,2.0,3.0,4.0,5.0,2,2,2,2,3,,,,,,,,1.0,7,2,4.0,6.0,,7.0,10.0,11.0,,,1,4.0,5.0,9.0,,,,,,1,1.0,2,5,6.0,,1,6,6,Oruro,0.375,0.758
3361,14,1,,,,,1,2.0,,,,1,2,2,2,3,,,,,,,,1.0,1,1,10.0,,,,,,,,7,,,,,,,,,2,,3,1,5.0,6.0,2,2,6,Oruro,0.375,0.138
3366,20,1,,,,,1,1.0,2.0,3.0,4.0,1,2,2,1,2,,,,,,,,1.0,7,1,7.0,9.0,,10.0,,,,,1,8.0,,,,,,,,2,,2,4,3.0,,2,3,6,Oruro,0.75,0.523
3368,21,1,,,,,1,2.0,5.0,,,2,2,2,2,2,,,,,,,,1.0,3,1,2.0,9.0,,,,,,,1,,,,,,,,,2,,2,6,,,2,4,6,Oruro,0.5,0.381
3369,16,1,,,,,1,1.0,2.0,4.0,5.0,1,1,1,1,1,7.0,9.0,10.0,,,,,1.0,7,1,7.0,8.0,,,,,,,4,5.0,7.0,9.0,,,,,,1,1.0,1,6,7.0,,1,2,6,Oruro,1.0,0.648
3373,19,1,,,,,1,1.0,,,,1,1,2,1,2,,,,,,,,1.0,3,9,,,,,,,,,9,,,,,,,,,2,,3,1,,,2,6,6,Oruro,0.75,0.138
3376,25,1,,,,,1,5.0,,,,1,1,2,1,2,,,,,,,,1.0,6,4,,,,,,,,,5,,,,,,,,,2,,2,1,,,2,6,6,Oruro,0.875,0.202
3379,17,1,,,,,1,3.0,4.0,5.0,,1,1,2,1,2,,,,,,,,1.0,7,8,10.0,,,,,,,,9,,,,,,,,,2,,1,5,6.0,,2,3,6,Oruro,0.875,0.305
3385,18,1,,,,,1,5.0,,,,1,2,2,1,2,,,,,,,,1.0,7,4,8.0,,,,,,,,9,,,,,,,,,2,,1,1,,,2,3,6,Oruro,0.75,0.202
3386,20,1,,,,,1,2.0,4.0,,,1,2,2,2,2,,,,,,,,1.0,7,1,2.0,4.0,,,,,,,3,8.0,,,,,,,,1,9.0,1,6,7.0,,2,6,6,Oruro,0.625,0.421
3388,17,1,,,,,1,1.0,2.0,3.0,4.0,1,1,2,1,3,,,,,,,,1.0,4,1,,,,,,,,,7,,,,,,,,,2,,3,5,,,1,2,6,Oruro,0.625,0.418
3390,17,1,,,,,1,2.0,4.0,5.0,,1,1,2,1,2,,,,,,,,1.0,7,1,2.0,7.0,,,,,,,5,7.0,9.0,,,,,,,1,1.0,3,7,8.0,,2,3,6,Oruro,0.75,0.527
3393,24,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,2.0,3,1,2.0,,,,,,,,1,,,,,,,,,2,,3,6,,,1,6,6,Oruro,0.375,0.121
3399,17,1,,,,,1,2.0,5.0,,,1,1,2,2,3,,,,,,,,1.0,7,1,2.0,,,,,,,,7,,,,,,,,,2,,1,9,,,2,3,6,Oruro,0.625,0.34
3400,18,1,,,,,1,2.0,4.0,5.0,,1,2,2,2,3,,,,,,,,1.0,7,1,4.0,7.0,,,,,,,5,7.0,,,,,,,,2,,1,9,,,2,3,6,Oruro,0.5,0.527
3403,23,1,,,,,1,5.0,,,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,4.0,,,,,,,5,7.0,,,,,,,,2,,1,5,,,1,6,6,Oruro,0.75,0.324
3405,18,1,,,,,1,3.0,4.0,5.0,,1,1,2,1,2,,,,,,,,1.0,7,1,4.0,8.0,,9.0,10.0,,,,7,9.0,,,,,,,,2,,2,1,,,1,3,6,Oruro,0.875,0.466
3406,14,1,,,,,1,3.0,,,,1,1,2,1,1,10.0,,,,,,,1.0,2,2,5.0,,,,,,,,2,3.0,9.0,,,,,,,2,,3,1,,,1,2,6,Oruro,0.75,0.206
3409,19,1,,,,,1,5.0,,,,1,2,2,2,3,,,,,,,,1.0,7,1,5.0,,,,,,,,5,,,,,,,,,1,9.0,2,1,,,1,3,6,Oruro,0.5,0.227
3422,19,1,,,,,1,2.0,5.0,,,1,1,2,1,2,,,,,,,,1.0,7,1,2.0,4.0,,,,,,,7,9.0,,,,,,,,9,,2,2,,,1,6,6,Oruro,0.875,0.421
3423,15,1,,,,,1,5.0,,,,1,1,2,1,3,,,,,,,,1.0,4,10,,,,,,,,,7,,,,,,,,,2,,1,2,,,2,2,6,Oruro,0.75,0.122
3424,18,1,,,,,1,5.0,,,,1,1,2,1,1,5.0,,,,,,,1.0,7,1,4.0,5.0,,,,,,,5,9.0,12.0,,,,,,,2,,1,4,3.0,,2,3,6,Oruro,0.875,0.372
3425,15,1,,,,,2,2.0,4.0,,,1,2,2,1,3,,,,,,,,1.0,5,1,7.0,10.0,,,,,,,7,,,,,,,,,2,,1,9,,,1,2,6,Oruro,0.5,0.324
3438,19,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,2,1,9.0,10.0,,,,,,,5,9.0,,,,,,,,2,,1,2,1.0,,2,2,6,Lagunillas,0.5,0.08
3439,21,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,7,1,10.0,,,,,,,,7,,,,,,,,,1,2.0,1,1,,,1,3,6,Lagunillas,0.625,0.04
3440,18,1,,,,,2,,,,,1,2,2,2,3,,,,,,,,1.0,2,1,5.0,,,,,,,,9,,,,,,,,,2,,3,1,2.0,,2,2,6,Lagunillas,0.25,0.105
3446,16,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,1,2,7.0,,,,,,,,5,9.0,,,,,,,,2,,1,2,,,1,2,6,Lagunillas,0.5,0.145
3449,17,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,2.0,1,4,7.0,,,,,,,,9,,,,,,,,,2,,1,1,2.0,,2,2,6,Lagunillas,0.5,0.267
3450,15,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,6,1,7.0,8.0,,10.0,11.0,,,,1,9.0,,,,,,,,9,,1,1,,,1,2,6,Lagunillas,0.5,0.17
3451,17,1,,,,,2,2.0,4.0,5.0,,1,2,2,1,3,,,,,,,,1.0,6,1,10.0,11.0,,,,,,,1,,,,,,,,,9,,1,4,,,2,2,6,Lagunillas,0.5,0.446
3452,17,1,,,,,1,1.0,2.0,3.0,4.0,1,1,2,1,3,,,,,,,,1.0,3,10,,,,,,,,,2,7.0,8.0,9.0,,,,,,1,2.0,1,6,4.0,5.0,1,3,6,Lagunillas,0.75,0.378
3454,17,1,,,,,2,5.0,,,,1,1,2,1,3,,,,,,,,1.0,7,9,10.0,,,,,,,,7,8.0,12.0,,,,,,,2,,3,1,,,2,3,6,Lagunillas,0.5,0.162
3463,16,1,,,,,2,2.0,4.0,5.0,,1,2,2,1,3,,,,,,,,1.0,5,1,2.0,10.0,,11.0,,,,,1,2.0,10.0,11.0,,,,,,9,,1,1,,,1,2,6,Lagunillas,0.5,0.527
3464,14,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,7,1,9.0,,,,,,,,9,,,,,,,,,9,,1,1,2.0,3.0,2,2,6,Lagunillas,0.5,0.202
3465,22,1,,,,,1,5.0,,,,1,2,2,1,3,,,,,,,,1.0,3,1,2.0,4.0,,,,,,,5,7.0,9.0,12.0,,,,,,1,2.0,2,3,2.0,1.0,2,6,6,Lagunillas,0.625,0.324
3466,24,1,,,,,1,4.0,5.0,,,1,2,2,1,2,,,,,,,,1.0,6,1,2.0,4.0,,7.0,9.0,,,,5,6.0,9.0,,,,,,,1,1.0,2,5,,,1,6,6,Lagunillas,0.75,0.55
3474,21,1,,,,,2,,,,,1,2,2,2,3,,,,,,,,2.0,1,1,2.0,3.0,,,,,,,5,,,,,,,,,2,,1,3,5.0,6.0,2,2,6,Cruce Culta,0.375,0.121
3476,19,1,,,,,1,4.0,,,,1,2,2,1,3,,,,,,,,2.0,3,1,2.0,5.0,,9.0,,,,,1,,,,,,,,,1,2.0,1,4,,,2,2,6,Cruce Culta,0.625,0.348
3477,15,1,,,,,1,1.0,,,,1,2,2,1,3,,,,,,,,1.0,7,6,7.0,9.0,,,,,,,1,,,,,,,,,2,,1,5,,,1,2,6,Cruce Culta,0.625,0.267
3478,16,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,5,1,,,,,,,,,9,,,,,,,,,2,,3,1,,,1,2,6,Cruce Culta,0.375,0.162
3479,16,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,2.0,1,1,11.0,,,,,,,,9,,,,,,,,,9,,1,5,6.0,7.0,1,2,6,Cruce Culta,0.5,0.227
3481,14,1,,,,,2,3.0,4.0,,,1,2,2,1,3,,,,,,,,,3,1,2.0,8.0,,,,,,,1,7.0,,,,,,,,2,,3,9,,,1,2,6,Cruce Culta,0.375,0.304
3482,19,1,,,,,2,5.0,,,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,8.0,,,,,,,1,,,,,,,,,2,,2,6,1.0,3.0,1,6,6,Cruce Culta,0.625,0.243
3488,16,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,2,1,2.0,7.0,,,,,,,1,,,,,,,,,9,,1,1,6.0,3.0,2,2,6,Cruce Culta,0.5,0.186
3489,18,1,,,,,2,1.0,2.0,3.0,4.0,1,2,2,1,3,,,,,,,,1.0,6,1,2.0,9.0,,10.0,11.0,,,,1,5.0,9.0,,,,,,,9,,1,1,,,1,2,6,Cruce Culta,0.5,0.604
3490,20,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,,,,,,,,1,3.0,11.0,,,,,,,9,,1,1,5.0,6.0,1,3,6,Cruce Culta,0.5,0.121
3491,24,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,4,2,7.0,10.0,,,,,,,7,,,,,,,,,9,,2,6,5.0,1.0,2,6,6,Cruce Culta,0.5,0.267
3508,20,1,,,,,1,1.0,,,,1,2,2,1,1,6.0,7.0,9.0,,,,,1.0,2,2,6.0,7.0,,,,,,,1,,,,,,,,,2,,2,1,,,1,6,6,Challapata,0.75,0.477
3518,19,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,2,9,10.0,,,,,,,,7,,,,,,,,,2,,3,6,1.0,2.0,2,3,6,Zapatera,0.375,0.04
3528,20,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,5,1,10.0,,,,,,,,5,9.0,,,,,,,,2,,1,5,6.0,7.0,1,6,6,Uyuni,0.625,0.04
3534,14,1,,,,,1,1.0,5.0,,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,1,9.0,,,,,,,,2,,1,5,1.0,7.0,2,2,6,Uyuni,0.75,0.34
3535,16,1,,,,,1,1.0,,,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,7.0,,10.0,,,,,5,9.0,,,,,,,,2,,1,5,6.0,4.0,1,2,6,Uyuni,0.75,0.283
3543,22,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,5,1,7.0,,,,,,,,1,,,,,,,,,2,,1,6,2.0,1.0,1,2,6,Tupiza,0.625,0.105
3546,19,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,7.0,8.0,,,,,,,1,9.0,,,,,,,,2,,3,1,2.0,,1,2,6,Tupiza,0.375,0.105
3548,20,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,5,1,10.0,,,,,,,,9,,,,,,,,,2,,1,9,,,2,3,6,Tupiza,0.625,0.04
3553,21,1,,,,,2,3.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,7,1,9.0,,,,,,,,1,7.0,,,,,,,,2,,3,6,5.0,1.0,1,3,6,Tupiza,0.375,0.264
3560,18,1,,,,,1,1.0,3.0,4.0,,1,1,2,1,2,,,,,,,,1.0,7,1,8.0,10.0,,,,,,,5,7.0,,,,,,,,2,,3,1,2.0,6.0,1,3,6,Tupiza,0.75,0.321
3561,16,1,,,,,2,2.0,4.0,,,1,1,2,1,3,,,,,,,,1.0,7,2,9.0,10.0,,,,,,,5,7.0,9.0,12.0,,,,,,2,,3,5,6.0,,2,2,6,Tupiza,0.5,0.34
3571,14,1,,,,,2,,,,,2,2,2,1,3,,,,,,,,1.0,3,1,2.0,,,,,,,,1,5.0,,,,,,,,2,,1,9,,,1,2,6,Tupiza,0.375,0.121
3573,15,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,4,1,10.0,,,,,,,,1,,,,,,,,,2,,3,9,,,2,2,6,Tupiza,0.5,0.04
3579,16,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,2,2,5.0,,,,,,,,1,,,,,,,,,2,,1,1,2.0,5.0,1,2,6,Taratuma,0.5,0.145
3581,15,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,7,1,7.0,9.0,,10.0,,,,,1,4.0,7.0,9.0,,,,,,2,,1,5,6.0,1.0,2,2,6,Taratuma,0.5,0.267
3583,17,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,3,1,2.0,8.0,,9.0,10.0,11.0,,,1,5.0,7.0,,,,,,,9,,1,4,1.0,2.0,2,3,6,Taratuma,0.5,0.348
3584,18,1,,,,,2,1.0,4.0,5.0,,1,2,2,1,3,,,,,,,,1.0,3,1,2.0,5.0,,,,,,,1,3.0,9.0,,,,,,,9,,1,1,4.0,7.0,1,3,6,Taratuma,0.5,0.527
3596,20,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,8,9.0,10.0,,,,,,,5,7.0,,,,,,,,2,,3,1,2.0,6.0,1,3,6,San Miguel de Kataty,0.375,0.04
3604,17,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,6,1,2.0,,,,,,,,1,5.0,12.0,,,,,,,2,,1,5,7.0,6.0,1,2,6,San Miguel de Kataty,0.5,0.243
